id	day
cell_12	6.5
cell_20	6.5
cell_24	6.5
cell_51	6.5
cell_55	6.5
cell_64	6.5
cell_73	6.5
cell_78	6.5
cell_82	6.5
cell_83	6.5
cell_91	6.5
cell_96	6.5
cell_105	6.5
cell_107	6.5
cell_113	6.5
cell_115	6.5
cell_125	6.5
cell_159	6.5
cell_160	6.5
cell_167	6.5
cell_183	6.5
cell_198	6.5
cell_216	6.5
cell_224	6.5
cell_231	6.5
cell_255	6.5
cell_260	6.5
cell_265	6.5
cell_269	6.5
cell_272	6.5
cell_284	6.5
cell_300	6.5
cell_304	6.5
cell_328	6.5
cell_331	6.5
cell_339	6.5
cell_343	6.5
cell_348	6.5
cell_358	6.5
cell_378	7.5
cell_388	7.5
cell_442	7.5
cell_459	7.5
cell_501	7.5
cell_535	7.5
cell_578	7.5
cell_610	7.5
cell_617	7.5
cell_623	7.5
cell_626	7.5
cell_707	7.5
cell_725	7.5
cell_742	7.5
cell_763	7.5
cell_768	7.5
cell_774	7.5
cell_834	7.5
cell_842	7.5
cell_844	7.5
cell_850	7.5
cell_853	7.5
cell_870	7.5
cell_873	7.5
cell_905	7.5
cell_911	7.5
cell_913	7.5
cell_915	7.5
cell_940	7.5
cell_941	7.5
cell_956	7.5
cell_980	7.5
cell_984	7.5
cell_998	7.5
cell_1016	7.5
cell_1024	7.5
cell_1026	7.5
cell_1028	7.5
cell_1032	7.5
cell_1037	7.5
cell_1051	7.5
cell_1081	7.5
cell_1090	7.5
cell_1107	7.5
cell_1145	7.5
cell_1179	7.5
cell_1227	7.5
cell_1237	7.5
cell_1252	7.5
cell_1282	7.5
cell_1312	7.5
cell_1324	7.5
cell_1335	7.5
cell_1338	7.5
cell_1352	7.5
cell_1353	7.5
cell_1355	7.5
cell_1358	7.5
cell_1377	7.5
cell_1384	7.5
cell_1397	7.5
cell_1400	7.5
cell_1406	7.5
cell_1414	7.5
cell_1419	7.5
cell_1427	7.5
cell_1442	7.5
cell_1463	6.5
cell_1489	6.5
cell_1491	6.5
cell_1511	6.5
cell_1539	6.5
cell_1556	6.5
cell_1572	6.5
cell_1584	6.5
cell_1634	6.5
cell_1662	6.5
cell_1690	6.5
cell_1700	6.5
cell_1722	6.5
cell_1725	6.5
cell_1735	6.5
cell_1745	6.5
cell_1754	6.5
cell_1773	6.5
cell_1778	6.5
cell_1787	6.5
cell_1791	6.5
cell_1793	6.5
cell_1797	6.5
cell_1801	6.5
cell_1822	6.5
cell_1847	6.5
cell_1851	6.5
cell_1869	6.5
cell_1875	6.5
cell_1900	6.5
cell_1915	6.5
cell_1920	6.5
cell_1955	6.5
cell_1957	6.5
cell_1979	6.5
cell_1992	6.5
cell_1995	6.5
cell_2076	6.5
cell_2081	6.5
cell_2101	6.5
cell_2129	6.5
cell_2136	6.5
cell_2177	6.5
cell_2181	6.5
cell_2205	6.5
cell_2230	6.5
cell_2239	6.5
cell_2246	6.5
cell_2255	6.5
cell_2273	6.5
cell_2277	6.5
cell_2278	6.5
cell_2280	6.5
cell_2312	6.5
cell_2318	6.5
cell_2371	6.5
cell_2372	6.5
cell_2395	6.5
cell_2405	6.5
cell_2411	6.5
cell_2420	6.5
cell_2455	6.5
cell_2457	6.5
cell_2459	6.5
cell_2460	6.5
cell_2483	6.5
cell_2495	6.5
cell_2498	6.5
cell_2514	6.5
cell_2548	6.5
cell_2552	6.5
cell_2577	6.5
cell_2589	6.5
cell_2600	6.5
cell_2601	6.5
cell_2619	6.5
cell_2626	6.5
cell_2666	7.5
cell_2675	7.5
cell_2682	7.5
cell_2685	7.5
cell_2696	7.5
cell_2706	7.5
cell_2712	7.5
cell_2722	7.5
cell_2735	7.5
cell_2747	7.5
cell_2749	7.5
cell_2753	7.5
cell_2772	7.5
cell_2779	7.5
cell_2803	7.5
cell_2822	7.5
cell_2824	7.5
cell_2830	7.5
cell_2833	7.5
cell_2842	7.5
cell_2846	7.5
cell_2861	7.5
cell_2882	7.5
cell_2886	7.5
cell_2895	7.5
cell_2904	7.5
cell_2943	7.5
cell_2947	7.5
cell_2958	7.5
cell_2966	7.5
cell_2973	7.5
cell_2982	7.5
cell_2997	7.5
cell_3019	7.5
cell_3059	7.5
cell_3082	7.5
cell_3083	7.5
cell_3098	7.5
cell_3115	7.5
cell_3117	7.5
cell_3130	7.5
cell_3143	7.5
cell_3167	7.5
cell_3229	7.5
cell_3234	7.5
cell_3242	7.5
cell_3243	7.5
cell_3258	7.5
cell_3259	7.5
cell_3264	7.5
cell_3281	7.5
cell_3290	7.5
cell_3332	7.5
cell_3347	7.5
cell_3350	7.5
cell_3367	7.5
cell_3368	7.5
cell_3384	7.5
cell_3400	7.5
cell_3421	7.5
cell_3427	7.5
cell_3439	7.5
cell_3442	7.5
cell_3455	7.5
cell_3475	7.5
cell_3476	7.5
cell_3503	7.5
cell_3516	7.5
cell_3532	7.5
cell_3558	7.5
cell_3581	7.5
